Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,"Earnings per share diluted growth %, TTM YoY",Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week
EONR,EON Resources Inc.,0.6398,USD,28.473895582329323,197810060,18.309579867143448,31969747.375100404,USD,-87.03703703703705,Energy minerals,No rating,0.4556405790467839,0.4397857632054962,0.4350499323923052,12.245614035087735
OMCC,Old Market Capital Corporation,4.7,USD,-4.8582995951417045,377,0.13698132403168375,31913457.63157895,USD,81.8681570388016,Finance,No rating,4.439828500609822,4.453415564668775,4.60643550375883,-4.665314401622709
HOLO,MicroCloud Hologram Inc.,2.17,USD,-2.690582959641258,238174,0.7722361497847748,31611077.004484303,USD,,Electronic technology,No rating,2.364034182852508,2.650347474191214,4.564729960300512,4.3269230769230695
AACG,ATA Creativity Global,1.02,USD,3.030303030303033,10681,0.983101080573606,31592271,USD,80.22284122562674,Commercial services,No rating,0.9894012739842456,1.0172671885192883,1.0689358594385838,10.869565217391301
SCYX,"SCYNEXIS, Inc.",0.7518,USD,0.33364473508608805,131221,0.3932761735556906,31549330.645135462,USD,41.209995615957915,Health technology,Strong buy,0.7401915800270378,0.730788807045896,0.7362447490186311,5.88732394366198
FTHM,Fathom Holdings Inc.,0.974,USD,-1.2070189674409193,38750,0.6060899922420481,31548795.569530375,USD,36.496062992125985,Technology services,Strong buy,1.0584932101487268,1.1173639618778444,1.1906830133861124,0.9326424870466329
CLPS,CLPS Incorporation,1.06,USD,0.18903591682419676,2182,0.34559766856201596,31528057.901701324,USD,-172.09051724137933,Technology services,No rating,1.0513973159025152,1.0279359311863825,1.0101677568373644,-2.7522935779816535
ABLV,Able View Global Inc.,0.6381,USD,-1.830769230769234,23051,3.494375890610314,31515706.970307693,USD,-137.96791443850267,Retail trade,No rating,0.7342730065300328,0.7491463499997709,0.7787308405633179,-10.755244755244751
ATCH,"AtlasClear Holdings, Inc.",0.2105,USD,-6.858407079646025,3728339,0.6110593555276856,31510272.181415927,USD,99.73109425350407,Technology services,No rating,0.24245412786570072,0.2607316352788317,0.35945195429404586,-8.478260869565224
FEMY,Femasys Inc.,0.5294,USD,-1.598513011152426,900096,2.2187613237197263,31500281.062825277,USD,12.489369456931113,Electronic technology,Strong buy,0.5716146937802281,0.607597743477687,0.6501240747580139,-1.962962962962973
RDGT,"Ridgetech, Inc.",1.7213,USD,4.32121212121213,3867,1.004024406075555,31475070.04557576,USD,,Distribution services,No rating,1.894470501845005,2.0960838783512754,2.1776997451727267,11.051612903225806
DFLI,Dragonfly Energy Holdings Corp,2.6,USD,-0.7633587786259549,192063,0.6374925816220725,31404650.76335878,USD,24.63074728409963,Producer manufacturing,Strong buy,3.120781654986434,3.8396050508288644,4.74347357300647,8.333333333333341
RYET,Ruanyun Edai Technology Inc.,0.9279,USD,-1.308232291001924,9392,1.3157747268142337,31316627.960753027,USD,,Technology services,No rating,1.0319576819212883,1.1166177992144712,1.5213000192171557,4.246713852376131
VASO,Vaso Corporation,0.177575,USD,-1.12750556792873,1690,0.023527708401201722,31244860.105094656,USD,,Technology services,No rating,0.17712483519674374,0.17204619176196762,0.16397390266447082,-4.013513513513507
CRKT,Cirmaker Technology Corp.,0.056,USD,0,1500,0.2155203379358899,31228180.000000004,USD,,Electronic technology,No rating,0.05720117592561787,0.062114788079479184,0.06944289998260629,0
SST,"System1, Inc.",3.12,USD,-3.105590062111804,1598,0.1837943527517374,31191640.919254653,USD,25.94786117002017,Technology services,Strong buy,3.626993265176248,3.9346601819535287,4.358164952731862,-6.306306306306306
