Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month
BBVXF,"Banco Bilbao Vizcaya Argentaria, S.A.",21.495,USD,2.6994744386048795,3059,0.43440597574483797,122405777009.25542,USD,Finance,Buy,22.786658838288158,22.77700357718304,22.201906465883763,3.19251080172829,-10.493441599000622
SMFNF,Sumitomo Mitsui Financial Group Inc.,32.05,USD,-1.3846153846153932,12061,0.1389990134884708,122328715429.68748,USD,Finance,Strong buy,35.56659927956282,34.88511923682459,33.44363219538099,-3.608732657842579,-18.850487403468794
INTU,Intuit Inc.,439.96,USD,1.1100130995334692,2339984,0.5037934506791127,121670930265.99998,USD,Technology services,Strong buy,467.0256538535292,502.75524837095224,544.8231996594541,-7.515082718462929,4.852240228789313
ACN,Accenture plc,196.65,USD,0.3060443764345801,4223284,0.6813262140096449,121000071128.00002,USD,Technology services,Strong buy,224.84500105357094,234.98830631719738,243.968262264086,-7.60665288479609,-18.712797619047613
BMYMP,Bristol-Myers Squibb Co.,780.5,USD,-18.697916666666668,12,1.791044776119403,120314873167.0,USD,Health technology,,922.7366714990569,909.8213809637673,889.3696995748472,-18.697916666666668,-21.95
BMY,Bristol-Myers Squibb Company,59.08,USD,0.22052586938082347,9395577,0.7969715245438583,120314873167.0,USD,Health technology,Buy,59.052569813433905,57.42047992969797,55.330749596253746,-1.4018691588785104,-2.5082508250825133
PGR,Progressive Corporation (The),205.17,USD,-0.004873769373242678,2553200,0.8574449135636958,120210409285.00002,USD,Finance,Buy,208.73188475260991,211.46472283928532,216.73572189811264,-2.2115247128354296,1.7052495910375243
BYDDF,"BYD Co., Ltd.",12.36,USD,-0.1615508885298978,82100,0.2886930433415816,119938496995.34018,USD,Producer manufacturing,Strong buy,12.278249760153999,12.403996567898703,12.6732770974112,2.828618968386022,-1.5923566878980977
VRTX,Vertex Pharmaceuticals Incorporated,469.34,USD,-1.8384121473239539,1097554,0.7475370971296805,119228408126.0,USD,Health technology,Strong buy,471.1542183392727,465.8189811936229,458.07216137196843,3.0180644878070195,1.9351475794366066
NEM,Newmont Corporation,109.58,USD,-4.280223619846266,10458890,1.0724596049724382,119209264232.99998,USD,Non-energy minerals,Strong buy,116.21742013468804,112.57332810480777,105.82559947011526,-2.4394586894586854,-12.336000000000002
HCA,"HCA Healthcare, Inc.",532.97,USD,0.07322843516466752,926318,0.9127895461367078,119183921455.0,USD,Health services,Buy,518.4051856420176,506.10629857199126,488.50912500656784,0.386122202968445,6.351518537733975
NOW,"ServiceNow, Inc.",113.62,USD,0.6199078993978062,14846301,0.77177229016143,118846522873.0,USD,Technology services,Strong buy,118.22788169169456,126.1574938571678,137.43826835534855,-7.671054770030877,7.615078613373751
EBBNF,Enbridge Inc.,24.1965,USD,-0.42592592592592743,2578,0.27533616003246786,118794637243.775,USD,Industrial services,,24.362345222944636,24.297791330026293,24.179065806661686,-0.6711822660098484,-1.7401015228426382
EBRGF,Enbridge Inc.,15.73,USD,0.006993496048681021,200,0.34019391052900155,118794637243.775,USD,Industrial services,,15.141799759439317,14.688406115732015,14.226533873786552,0,1.1575562700964612
EBGEF,Enbridge Inc.,25.097,USD,-0.6059405940594007,355,0.3925254312251216,118794637243.775,USD,Industrial services,,25.03128771690498,24.983076274751518,24.88779877283275,1.344693910515272,-0.4877081681205296
EBBGF,Enbridge Inc.,24.6,USD,0.24449877750612176,9352,1.929520508376661,118794637243.775,USD,Industrial services,,24.683163899456126,24.626057922043266,24.539598708321204,-1.0060362173038229,-0.7223858912788994
ENNPF,Enbridge Inc.,18.108,USD,0.37694013303770174,400,0.18479164741753673,118794637243.775,USD,Industrial services,,18.096635652589203,17.875547003489622,17.599813315372305,-0.8601102649314802,-4.594309799789251
ENB,Enbridge Inc,54.08,USD,0.8390826030206893,3744451,0.8228451344318443,117993381889.39148,USD,Industrial services,Buy,52.04129851214361,50.96493492275005,49.92248862702041,0.01849454410948402,5.624999999999991
ESOCF,ENEL Societa per Azioni,11.5625,USD,2.436323366555928,5852,0.6649924432676901,117435626986.80484,USD,Utilities,Buy,11.369882847029393,11.158288114509398,10.843199034922216,8.161833489242287,-3.8061564059900133
IVSXF,Investors AB,38.0,USD,-4.642409033877042,2102,1.8203862475101757,117204976175.71921,USD,Finance,Buy,37.9578556978557,37.00151692899401,35.65006891300177,-4.642409033877042,-2.5641025641025643
PROSF,Prosus NV,53.1756,USD,1.4710512606693764,625,0.04977977427859152,116151024627.41467,USD,Technology services,Strong buy,55.584026714245965,57.66820870058335,58.644488106307655,1.7753789618741491,2.359191530317613
MCK,McKesson Corporation,940.91,USD,-0.3653267821593508,543267,0.7757951490793853,115249662957.0,USD,Distribution services,Strong buy,918.6467184927036,895.3126335118288,864.6103285882153,2.260599276173496,0.8056653703168003
AIQUF,L'Air Liquide SA,199.15,USD,1.3434430817770162,448,1.100466715794645,115120311458.93083,USD,Process industries,Strong buy,197.80917476501813,196.41130519404686,195.97132295143038,4.275204859020337,-0.6435345457665808
IVSBF,Investors AB,37.61,USD,-2.816537467700267,4271,0.6237221800338805,114666071521.44066,USD,Finance,Buy,38.878828334780486,38.05133922308806,36.73874644300445,0.5346164127238783,-7.70552147239264
XIACF,Xiaomi Corp.,4.375,USD,1.7441860465116321,10851,0.1548443992876387,114361065851.36554,USD,Electronic technology,Strong buy,4.572487813148198,4.764120256027957,5.0501432373913175,9.375,-7.733513296918823
UBS,UBS Group AG Registered,36.94,USD,-1.5195947747267404,2661454,0.8460105992989642,114207372710.79277,USD,Finance,Buy,41.25221379142763,41.99538778835151,41.84109602985991,-1.93788160339794,-13.32707648991084
MO,"Altria Group, Inc.",67.89,USD,0.25103366804489324,7307876,0.8210150340200107,113505159039.00002,USD,Consumer non-durables,Buy,65.86091457464762,64.5296138446017,63.40697528592587,2.074875958502474,5.764137716155169
SBUX,Starbucks Corporation,99.15,USD,-1.0281493312038341,9400434,1.0565573542201931,112961601580.0,USD,Consumer services,Buy,96.42737783204996,94.43749447572696,92.48465359656365,0.9160305343511508,1.4426028238183046
PH,Parker-Hannifin Corporation,889.86,USD,-1.3644878459713743,877847,0.9681124494271591,112315039400.0,USD,Producer manufacturing,Strong buy,944.2220583855942,930.3203867931993,899.8009540797905,-1.2232483793623992,-11.013999999999998
IBKR,"Interactive Brokers Group, Inc.",66.19,USD,-1.090854751942624,3384318,0.7157020143363384,112268243427.08,USD,Finance,Strong buy,70.17397502347609,70.07421773140574,68.88773108478071,1.3008876645240193,-14.736570913306709
CRWD,"CrowdStrike Holdings, Inc.",441.78,USD,0.05435521130587313,2227117,0.4942639323063985,112041632356.0,USD,Technology services,Strong buy,425.87318087466014,436.50641479297525,447.0840744253624,3.8077894613170384,6.78752719361856
MDT,Medtronic plc.,87.14,USD,-0.27466239414052973,7923383,0.9171389024629354,111877738967.0,USD,Health technology,Strong buy,94.91257160622226,96.0500987283222,96.17245851899642,-3.177777777777777,-13.910294408219718
COF/PK,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred S",17.63,USD,-0.339174674957616,14891,1.6893371300214413,111817074519.0,USD,Finance,,17.886833501189667,17.916093941065782,17.96203950585203,-0.9550561797752904,-2.0011117287381848
COF/PI,"Capital One Financial Corporation Depositary shares each representing a 1/40th interest in a share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Serie",19.1,USD,-0.20898641588296316,80188,0.7860458915604072,111817074519.0,USD,Finance,,19.505409716952926,19.529308262013508,19.552374377004245,-1.6984045290787355,-3.632694248234101
COF/PN,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred S",16.16,USD,-0.49261083743841316,14798,0.6106674920045394,111817074519.0,USD,Finance,,16.53895622170754,16.620034229893154,16.715436305745005,-1.5834348355663916,-3.579952267303111
COF/PJ,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non- Cumulative Perpetual Preferred Stock, Ser",18.16,USD,-0.16492578339747738,105122,1.2486651818856718,111817074519.0,USD,Finance,,18.462736554631608,18.502230838175244,18.55672606082191,-1.5184381778741924,-2.835741037988235
COF,Capital One Financial Corporation,179.79,USD,1.3186813186813207,5865130,0.997031139966708,111817074519.0,USD,Finance,Strong buy,202.5263484759968,209.7738175366242,213.83791570020597,-1.8131177980449027,-19.01351351351352
COF/PL,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Seri",16.69,USD,-0.6547619047619013,41987,1.0435649273503638,111817074519.0,USD,Finance,,17.035438886203263,17.04790862208439,17.066295356129373,-1.125592417061598,-3.134068485200227
CME,CME Group Inc.,311.4,USD,0.06748288826761129,2253394,0.9133819815042697,111675973207.99998,USD,Finance,Buy,304.4700415384087,297.37520834588383,290.2495981464126,-1.868531563731581,1.5804668004110096
GLW,Corning Incorporated,129.12,USD,-0.500886183247288,6673414,0.4730303114159538,110778257079.99998,USD,Electronic technology,Strong buy,123.87047957202103,115.70109819887215,105.76772037617805,6.710743801652896,-1.6977540921202816
SNPMF,China Petroleum & Chemical Corp.,0.6578,USD,2.7812500000000058,5000,0.08499469633094896,110413605993.95456,USD,Energy minerals,Buy,0.655264161371308,0.6384391919946091,0.6159510848365141,1.2000000000000044,3.753943217665622
AAIGF,"AIA Group, Ltd.",10.45,USD,-4.216315307057753,10154,0.6608138800851235,109810961469.79338,USD,Finance,Strong buy,10.59202432312772,10.54444852638571,10.358467726550524,-1.8779342723004795,-4.313668037102489
SO,Southern Company (The),98.01,USD,0.1737530662305823,6966870,1.1956171328078813,109711537368.00002,USD,Utilities,Buy,94.52992867203088,93.13011076508742,92.26735005164163,0.5230769230769283,8.047624297210906
CEG,Constellation Energy Corporation,301.77,USD,0.07295639197478708,1988620,0.6447047163115429,109237825888.0,USD,Utilities,Strong buy,308.3737946170016,313.81557779848623,319.19049001449457,-3.359380003842954,10.698629885732089
UNCFF,UniCredito Spa,72.38,USD,-4.395205230657465,4428,0.8112861854159032,109145638352.01071,USD,Finance,Strong buy,81.11144337425692,81.38490103800098,80.25069028730212,-4.775687409551387,-18.16383062920459
BPAQF,BP Plc,7.1,USD,0,3365,0.2080962746747143,109126450921.37375,USD,Energy minerals,Buy,6.41745800702582,6.242195602150735,6.071945651894424,5.18518518518518,11.811023622047244
TOELF,Tokyo Electron Ltd.,238.0,USD,-6.158820282312122,416,0.5207159844786496,109041071289.06328,USD,Producer manufacturing,Strong buy,257.8561122794384,251.1449918744061,238.05626310839304,0,-14.990284603954743
CCZ,Comcast Holdings ZONES,63.67,USD,-1.1028269648959208,103,0.5401153644467751,108511034399.0,USD,Consumer services,,63.37939948162402,62.89065293148446,62.26750467616398,0,-1.1028269648959208
CMCSA,Comcast Corporation,30.16,USD,0,20252812,0.7772220382028762,108511034399.0,USD,Consumer services,Buy,30.461053622459275,29.899215333723458,29.538491882258565,-4.67762326169406,-6.596469495199749
GLAXF,GSK plc,27.0,USD,-0.14792899408283708,591,0.19230769230769232,108107924647.26735,USD,Health technology,Buy,27.310226074188638,26.450371117160493,25.253593241435414,1.8867924528301887,-10.447761194029848
ESLOF,EssilorLuxottica,233.25,USD,-4.577810505645556,746,0.8426522082909749,107781820925.734,USD,Health technology,Strong buy,273.9704955715411,288.5878132556894,299.7299591380589,-3.676402267166353,-22.164380818900796
BNPQF,BNP Paribas,97.16,USD,0.7882771905838292,3741,0.5489522803310442,107327807460.93484,USD,Finance,Strong buy,103.34260829666722,101.31134355216977,98.24455055429742,-3.3522331642295877,-13.91294717022926
SPOT,Spotify Technology S.A.,516.06,USD,1.2696481485115427,1164985,0.4878131607153183,106221937401.00002,USD,Technology services,Strong buy,516.8562913816246,528.7778686960041,551.4032727258341,-6.6579846980302895,5.3753560599099375
DLEGF,"Delta Electronics Thailand Public Co., Ltd.",8.4,USD,-1.0600706713780903,479,1.2425421530479897,105990269846.9605,USD,Electronic technology,,7.691394091462769,7.221492303411759,6.915855386351134,-1.17647058823529,19.148936170212774
ADTTF,Advantest Corp.,150.5025,USD,-1.3551156846037855,809,0.7403678960373387,104986066771.09048,USD,Electronic technology,Strong buy,155.5764822767051,148.00679087108773,134.55000437435643,-7.200332963374034,-18.647297297297296
NOC,Northrop Grumman Corporation,733.71,USD,-0.32333002757814877,481854,0.5302304791577741,104129322896.0,USD,Electronic technology,Buy,709.2892356211634,684.2374894018058,655.3964269826516,-3.8387942332896414,7.52850485095407
AEM,Agnico Eagle Mines Limited,207.54,USD,-4.902859237536664,2879504,1.109140250522445,103983687618.38507,USD,Non-energy minerals,Strong buy,213.8045265012272,205.41762850907907,193.49139701970083,-3.7116080541894774,-4.399097148648031
MITSF,"Mitsui & Co., Ltd.",36.3728,USD,-0.39624837406722885,3487,0.8265775375717062,103794917485.15546,USD,Process industries,Strong buy,35.29298047608518,33.79881165042675,31.776552751086545,-4.2821052631579,-2.5706823813031674
DUK/PA,"Duke Energy Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.75% Series A Cumulative Redeemable Perpetual Preferred Stock",24.93,USD,-0.24049523611350912,63737,0.9974194820498294,103546875380.0,USD,Utilities,,25.024316781149757,25.03226786505226,25.02443515849079,-0.28000000000000114,-1.2282091917591076
DUK,Duke Energy Corporation (Holding Company),133.15,USD,1.0089516006675867,4710196,0.9013868858105352,103546875379.99998,USD,Utilities,Buy,127.79895824064454,125.67702615768269,124.05727412174062,0.9783103291369574,7.14573106944557
SNYNF,Sanofi,85.7424,USD,-1.327563984533232,456,0.3711843711843712,103228060744.34796,USD,Health technology,Buy,92.09896267468413,93.41274581293872,94.75509911092436,-3.3125845737483117,-11.70590052517763
BSX,Boston Scientific Corporation,69.13,USD,0.8460977388767299,11660823,0.905696952927766,102581000403.99998,USD,Health technology,Strong buy,77.57546085740151,82.04160223699631,86.66114429304336,-1.692263936291237,-6.73232595790611
CHDRF,Christian Dior S.E.,568.0,USD,5.9365499748214265,1,0.10989010989010989,102473210060.78534,USD,Consumer non-durables,,613.3231536265682,622.098748966829,619.818242756507,4.07695831424645,-12.204773092617787
ADBE,Adobe Inc.,249.32,USD,-7.583957298539544,17406382,2.5929925549109916,102345863007.00002,USD,Technology services,Buy,275.47788103624964,288.3805201359091,304.10867229646317,-11.374946679937437,-5.228546992302574
CFRHF,Compagnie Financiere Richemont AG,173.98,USD,-2.0658598367576784,313,0.3908103383693345,102085174634.33832,USD,Consumer durables,Strong buy,193.41585137364905,196.66275186144657,197.3445910924161,-1.3830631447681656,-16.66427168654501
IITSF,Intesa Sanpaolo S.p.A.,5.86,USD,-4.013104013104014,18302,0.16794908853987436,101795594728.75974,USD,Finance,Strong buy,6.580643524810215,6.665226170759774,6.6357587915511775,-2.3333333333333277,-16.997167138810187
